line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
                                        	wswwsws	0	0	0	0	0	1.0	0	1.0
a shadow of cloud on the stream         	wswwswws	0	0	0	0	0	1.0	0	2.0
                                        	wswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
changes minute by minute                	swswwsw	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	swwswsw	0	0	0	0	0	1.0	0	1.0
                                        	swwswws	0	0	0	0	0	0.0	0	2.0
a horse hoof slides on the brim         	wswswws	0	0	0	0	0	1.0	2.0	1.0
                                        	wswswsw	0	0	2.0	0	0	0.0	4.0	0
                                        	wswswss	0	0	2.0	0	10.0	0.0	2.0	1.0
and a horse plashes within it           	wwsswwsw	0	0	0	0	0	1.0	0	3.0
                                        	wswswwsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wwsswwss	0	0	2.0	0	0	0.0	0	4.0
                                        	swswswsw	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	swsswwsw	0	0	2.0	0	10.0	1.0	0	2.0
                                        	wwsswsws	3.0	3.0	4.0	0	0	1.0	2.0	2.0
                                        	wswswssw	3.0	0	4.0	0	10.0	0.0	2.0	1.0
                                        	swsswssw	3.0	0	4.0	0	20.0	0.0	0	2.0
the long legged moor hens dive          	wswsws	0	0	0	0	0	0.0	4.0	0
                                        	wswwss	0	0	0	0	0	1.0	2.0	2.0
                                        	wsswsws	0	0	0	0	10.0	0.0	2.0	1.0
and hens to moor cocks call             	wswsws	0	0	0	0	0	0.0	2.0	0
minute by minute they live              	swwswws	0	0	0	0	0	0.0	0	2.0
                                        	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswwsws	0	0	0	0	0	1.0	0	1.0
the stone's in the midst of all         	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wwswwss	0	0	2.0	0	0	0.0	4.0	3.0
                                        	wsswsws	0	0	0	0	10.0	0.0	0	1.0
too long a sacrifice                    	wswsws	0	0	0	0	0	0.0	2.0	0
                                        	sswsws	0	0	0	0	10.0	0.0	0	1.0
can make a stone of the heart           	wswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wswssws	0	0	2.0	0	10.0	0.0	0	1.0
o when may it suffice                   	wswsws	0	0	2.0	0	0	0.0	0	0
that is heaven's part our part          	swswsws	0	0	0	0	0	0.0	0	0
to murmur name upon name                	wswswsw	0	0	0	0	0	0.0	2.0	0
                                        	wswswss	0	0	0	0	10.0	0.0	0	1.0
as a mother names her child             	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wwswwss	0	0	2.0	0	0	0.0	2.0	3.0
when sleep at last has come             	wswsws	0	0	0	0	0	0.0	0	0
on limbs that had run wild              	wswsws	0	0	0	0	0	0.0	2.0	0
                                        	wswwss	0	0	0	0	0	1.0	0	2.0
                                        	wsswss	0	0	0	0	20.0	0.0	0	2.0
what is it but nightfall                	wswwss	0	0	2.0	0	0	1.0	0	2.0
                                        	swswsw	0	3.0	2.0	0	0	0.0	2.0	0
                                        	swswss	0	0	2.0	0	10.0	0.0	0	1.0
no no not night but death               	wswsws	0	0	0	0	0	0.0	2.0	0
                                        	sswsws	0	0	0	0	10.0	0.0	0	1.0
was it needless death after all         	wwswwsws	0	0	0	0	0	1.0	2.0	2.0
                                        	swswwsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wwswwsww	0	0	0	1.0	0	0.0	2.0	3.0
                                        	swswswsw	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	swswssws	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wwswssws	0	0	0	0	10.0	1.0	0	2.0
                                        	wwswswsw	3.0	3.0	2.0	0	0	1.0	4.0	1.0
for england may keep faith              	wswwss	0	0	0	0	0	1.0	0	2.0
                                        	wswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wswwsw	0	0	0	0	0	1.0	2.0	1.0
for all that is done and said           	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wsswsws	0	0	0	0	10.0	0.0	0	1.0
we know their dream enough              	wswsws	0	0	0	0	0	0.0	0	0
to know they dreamed and are dead       	wswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wswssws	0	0	2.0	0	10.0	0.0	0	1.0
and what if excess of love              	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	4.0	0	0	0.0	0	0
                                        	wswswsw	0	3.0	2.0	0	0	0.0	4.0	0
                                        	wswssws	0	0	0	0	10.0	0.0	0	1.0
                                        	wwsswws	3.0	3.0	2.0	0	0	0.0	2.0	3.0
bewildered them till they died          	wswswws	0	0	2.0	0	0	1.0	0	1.0
                                        	wswwsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	4.0	0	10.0	0.0	0	1.0
i write it out in a verse               	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswsw	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	4.0	0	10.0	0.0	0	1.0
macdonagh and macbride                  	wswwss	0	0	0	0	0	1.0	2.0	2.0
                                        	wswsws	0	0	2.0	0	0	0.0	4.0	0
                                        	wswwsw	0	0	0	0	0	1.0	4.0	1.0
                                        	sswwss	0	0	0	0	10.0	0	0	3.0
                                        	sswsws	0	0	2.0	0	10.0	0.0	2.0	1.0
                                        	sswwsw	0	0	0	0	10.0	1.0	2.0	2.0
and connolly and pearse                 	wswswsw	0	0	0	0	0	0.0	0	0
now and in time to be                   	swwsws	0	0	0	0	0	1.0	0	1.0
                                        	swwsww	0	0	0	1.0	0	0.0	0	2.0
                                        	swswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	wswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swssws	0	0	0	0	10.0	0.0	0	1.0
wherever green is worn                  	wswsws	0	0	0	0	0	0.0	0	0
are changed changed utterly             	wswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wswsww	0	0	0	1.0	0	1.0	2.0	1.0
a terrible beauty is born               	wswwswws	0	0	0	0	0	1.0	0	2.0
                                        	wswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
that is no country for old men the young	wwsswwssws	0	0	0	0	0	1.0	0	4.0
                                        	swwswwssws	0	0	0	0	0	1.0	2.0	3.0
                                        	wwsswwswws	0	0	0	0	0	0.0	2.0	4.0
                                        	swwswwswws	0	0	0	0	0	0.0	4.0	3.0
                                        	wswswwssws	0	0	2.0	0	0	1.0	2.0	2.0
                                        	wwsswswsws	0	0	2.0	0	0	1.0	2.0	2.0
                                        	swwswswsws	0	0	2.0	0	0	1.0	4.0	1.0
                                        	wswswswsws	0	0	4.0	0	0	0.0	4.0	0
                                        	swsswwssws	0	0	0	0	10.0	1.0	0	3.0
                                        	swsswswsws	0	0	2.0	0	10.0	0.0	2.0	1.0
in one another's arms birds in the trees	swwswswsws	0	0	0	0	0	1.0	2.0	1.0
                                        	wswswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swwswwswws	0	0	0	0	0	0.0	2.0	3.0
                                        	swwswsswws	0	0	0	0	10.0	1.0	0	3.0
                                        	wswswsswws	0	0	2.0	0	10.0	1.0	0	2.0
                                        	wswswsswss	0	0	4.0	0	20.0	0.0	0	2.0
those dying generations at their song   	wswswswsws	0	0	0	0	0	0.0	0	0
the salmon falls the mackerel crowded seas	wswswswwsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswswswsw	3.0	3.0	4.0	0	0	0.0	4.0	0
                                        	wswswswswss	3.0	3.0	4.0	0	10.0	0.0	2.0	1.0
fish flesh or fowl commend all summer long	wswswswsws	0	0	0	0	0	0.0	2.0	0
                                        	sswswswsws	0	0	0	0	10.0	0.0	0	1.0
whatever is begotten born and dies      	wswswswsws	0	0	2.0	0	0	0.0	0	0
caught in that sensual music all neglect	wswswwswsws	0	0	0	0	0	1.0	2.0	1.0
                                        	swwswwswsws	0	0	0	0	0	2.0	0	2.0
                                        	swwswwswwss	3.0	0	2.0	0	0	0.0	0	4.0
                                        	swwswwsswws	3.0	0	2.0	0	0	0.0	0	4.0
                                        	swswswswsws	3.0	3.0	2.0	0	0	0.0	2.0	0
                                        	sswswwswsws	0	0	0	0	10.0	1.0	0	2.0
                                        	swsswwswsws	0	0	0	0	10.0	1.0	0	2.0
monuments of unageing intellect         	swswwswsws	0	0	2.0	0	0	1.0	0	1.0
                                        	swwswswsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wswswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
an aged man is but a paltry thing       	wswswswsws	0	0	2.0	0	0	0.0	0	0
a tattered coat upon a stick unless     	wswswswsws	0	0	0	0	0	0.0	0	0
soul clap its hands and sing and louder sing	wswswswsws	0	0	0	0	0	0.0	2.0	0
                                        	sswswswsws	0	0	0	0	10.0	0.0	0	1.0
for every tatter in its mortal dress    	wswswswsws	0	0	0	0	0	0.0	0	0
nor is there singing school but studying	wswswswsws	0	0	4.0	0	0	0.0	0	0
                                        	wswswswsww	0	0	2.0	1.0	0	1.0	0	1.0
monuments of its own magnificence       	swswwswsws	0	0	4.0	0	0	1.0	0	1.0
                                        	swwswswsws	0	0	4.0	0	0	1.0	0	1.0
                                        	swswwswsww	0	0	2.0	1.0	0	2.0	0	2.0
                                        	swwswswsww	0	0	2.0	1.0	0	2.0	0	2.0
                                        	swwsswwsww	0	0	2.0	1.0	0	0.0	0	4.0
                                        	wswswswsws	3.0	3.0	6.0	0	0	0.0	2.0	0
                                        	wswswswsww	3.0	3.0	4.0	1.0	0	1.0	2.0	1.0
and therefore i have sailed the seas and come	wswswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswwsswsws	0	0	0	0	0	1.0	0	2.0
to the holy city of byzantium           	swswswswsws	0	0	6.0	0	0	0.0	0	0
                                        	wwswswswsws	0	0	4.0	0	0	1.0	0	1.0
                                        	swswswswsww	0	0	4.0	1.0	0	1.0	0	1.0
                                        	wwswswswsww	0	0	2.0	1.0	0	2.0	0	2.0
o sages standing in god's holy fire     	wswswswsws	0	0	0	0	0	0.0	2.0	0
                                        	wswswwssws	0	0	0	0	0	1.0	0	2.0
as in the gold mosaic of a wall         	wswswswsws	0	0	2.0	0	0	0.0	0	0
come from the holy fire perne in a gyre 	swwswswswsw	0	0	0	0	0	1.0	2.0	1.0
                                        	wswswswswsw	0	0	2.0	0	0	0.0	4.0	0
                                        	swwswwswwss	3.0	0	2.0	0	0	0.0	2.0	4.0
                                        	swwswsswwsw	0	0	0	0	10.0	2.0	0	3.0
                                        	swwswsswwss	3.0	0	2.0	0	10.0	1.0	0	4.0
                                        	swwswsswssw	0	0	2.0	0	20.0	1.0	0	3.0
                                        	wswswsswssw	0	0	4.0	0	20.0	0.0	2.0	2.0
and be the singing masters of my soul   	wswswswsws	0	0	2.0	0	0	0.0	0	0
consume my heart away sick with desire  	wswswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswwswws	0	3.0	0	0	0	2.0	2.0	2.0
                                        	wswswsswws	0	0	0	0	10.0	1.0	0	2.0
                                        	wswswsswss	3.0	0	2.0	0	20.0	0.0	0	2.0
and fastened to a dying animal          	wswswswsws	0	0	4.0	0	0	0.0	0	0
                                        	wswswswsww	0	0	2.0	1.0	0	1.0	0	1.0
it knows not what it is and gather me   	wswswswsws	0	0	4.0	0	0	0.0	0	0
                                        	wswswswsww	0	0	2.0	1.0	0	1.0	0	1.0
into the artifice of eternity           	wswswswwsws	0	0	4.0	0	0	1.0	0	1.0
                                        	wswswwswsws	0	0	4.0	0	0	1.0	0	1.0
                                        	wswswswwsww	0	0	2.0	1.0	0	2.0	0	2.0
                                        	wswswwswsww	0	0	2.0	1.0	0	2.0	0	2.0
                                        	swwswswwsww	0	0	2.0	1.0	0	1.0	0	3.0
                                        	swwswwswsww	0	0	2.0	1.0	0	1.0	0	3.0
                                        	swswswswsws	3.0	3.0	8.0	0	0	0.0	2.0	0
                                        	swwswwswwss	3.0	3.0	4.0	0	0	0.0	2.0	4.0
                                        	swwswwsswws	3.0	3.0	4.0	0	0	0.0	2.0	4.0
                                        	wswswswswsw	6.0	3.0	6.0	0	0	0.0	2.0	0
once out of nature i shall never take   	swwswwssws	0	0	0	0	0	1.0	0	3.0
                                        	swwswswsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wswswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	swwswwssww	0	0	0	1.0	0	0.0	2.0	4.0
                                        	swwswwswws	0	3.0	0	0	0	0.0	2.0	3.0
my bodily form from any natural thing   	wswwswswsws	0	0	0	0	0	1.0	0	1.0
                                        	swswswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
but such a form as grecian goldsmiths make	wswswswwsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wswswswswsw	3.0	3.0	6.0	0	0	0.0	4.0	0
                                        	wswswswswss	3.0	3.0	6.0	0	10.0	0.0	2.0	1.0
of hammered gold and gold enamelling    	wswswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswswsww	0	0	0	1.0	0	1.0	0	1.0
to keep a drowsy emperor awake          	wswswswsws	0	0	2.0	0	0	0.0	0	0
or set upon a golden bough to sing      	wswswswsws	0	0	0	0	0	0.0	0	0
to lords and ladies of byzantium        	wswswswsws	0	0	4.0	0	0	0.0	0	0
                                        	wswswswsww	0	0	2.0	1.0	0	1.0	0	1.0
of what is past or passing or to come   	wswswswsws	0	0	2.0	0	0	0.0	0	0
a strange thing surely that my heart when love had come unsought	wswswswswswsws	0	0	0	0	0	0.0	2.0	0
upon the norman upland or in that poplar shade	wswswswwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswswswssws	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wswswswswswsw	3.0	3.0	4.0	0	0	0.0	4.0	0
should find no burden but itself and yet should be worn out	wswswswswswwsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswswswsws	0	0	4.0	0	0	0.0	4.0	0
                                        	wswswswswsswsw	0	0	2.0	0	10.0	0.0	2.0	1.0
                                        	wswswswswswssw	0	0	2.0	0	10.0	0.0	2.0	1.0
it could not bear that burden and therefore it went mad	wswswswwswwss	0	0	0	0	0	2.0	0	3.0
                                        	wswswswwswsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswwswwsw	0	0	0	0	0	2.0	2.0	2.0
                                        	wwsswswwswwss	0	0	0	0	0	1.0	0	5.0
                                        	wwswwswwswwss	0	0	0	0	0	0.0	2.0	5.0
                                        	wwswwswwswwsw	0	0	0	0	0	1.0	4.0	4.0
                                        	wswswswswswsw	3.0	3.0	4.0	0	0	0.0	4.0	0
                                        	wswswswswswss	3.0	3.0	4.0	0	10.0	0.0	2.0	1.0
the south wind brought it longing and the east wind despair	wswswswswswws	0	0	2.0	0	0	1.0	4.0	1.0
                                        	wswswswswwsws	0	0	2.0	0	0	1.0	4.0	1.0
                                        	wswswswwswsws	0	0	2.0	0	0	1.0	4.0	1.0
                                        	wswswswswssws	0	0	2.0	0	10.0	0.0	2.0	1.0
                                        	wswswswswswsw	3.0	3.0	4.0	0	0	0.0	6.0	0
the west wind made it pitiful and the north wind afraid	wswswswswwssws	0	0	2.0	0	0	1.0	2.0	2.0
                                        	wswswswswswsws	0	0	4.0	0	0	0.0	4.0	0
it feared to give its love a hurt with all the tempest there	wswswswswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswswswswsww	0	0	0	1.0	0	1.0	0	1.0
it feared the hurt that she could give and therefore it went mad	wswswswswswwss	0	0	2.0	0	0	1.0	0	2.0
                                        	wswswwsswswwss	0	0	0	0	0	2.0	0	4.0
                                        	wswswswswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswswswswwsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswwsswswwsw	0	0	0	0	0	2.0	2.0	3.0
                                        	wswsswsswswwss	0	0	0	0	20.0	1.0	0	4.0
                                        	wswsswsswswsws	0	0	2.0	0	20.0	0.0	2.0	2.0
                                        	wswsswsswswwsw	0	0	0	0	20.0	1.0	2.0	3.0
i can exchange opinion with any neighbouring mind	wswswswwswswws	0	0	2.0	0	0	2.0	0	2.0
                                        	wswswswwswswsw	0	0	4.0	0	0	1.0	2.0	1.0
                                        	wswswswwswswss	0	0	4.0	0	10.0	1.0	0	2.0
                                        	wswswswswswsws	6.0	6.0	8.0	0	0	0.0	4.0	0
i have as healthy flesh and blood as any rhymer's had	wswswswswswsws	0	0	0	0	0	0.0	0	0
but o my heart could bear no more when the upland	wswswwswswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswswwsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswwswswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	swswswswswsw	0	0	4.0	0	0	0.0	4.0	0
                                        	wswswsswswsw	0	0	2.0	0	10.0	0.0	0	1.0
caught the wind                         	sws	0	0	0	0	0	0	0	0
i ran i ran from my love's side because my heart went mad	wswswwsswswsws	0	0	0	0	0	1.0	2.0	2.0
                                        	wswswswswswsws	0	0	2.0	0	0	0.0	4.0	0
the heart behind its rib laughed out you have called me mad it said	wswswswswwswsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswwswswsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswwswswswsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswwswwsswsws	0	0	0	0	0	2.0	2.0	3.0
                                        	wswswsswswswsws	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wswswswswswswsw	0	0	6.0	0	0	0.0	8.0	0
                                        	wswswsswwsswsws	0	0	0	0	10.0	1.0	0	3.0
                                        	swswswswswswsws	3.0	3.0	8.0	0	0	0.0	6.0	0
because i made you turn away and run from that young child	wswswswswswsws	0	0	0	0	0	0.0	2.0	0
                                        	wswswswswswwss	0	0	0	0	0	1.0	0	2.0
how could she mate with fifty years that was so wildly bred	wswswswswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswswwswwsws	0	0	0	0	0	2.0	0	2.0
                                        	wswswswsswwsws	0	0	0	0	10.0	1.0	0	2.0
let the cage bird and the cage bird mate and the wild bird mate in the wild	swswswswswwsswsws	0	0	2.0	0	0	1.0	6.0	2.0
                                        	swswswswswswswsws	0	0	4.0	0	0	0.0	8.0	0
                                        	swwswwswswwswwsws	0	0	0	0	0	2.0	6.0	4.0
                                        	swwswwswswwswswws	0	0	0	0	0	2.0	6.0	4.0
                                        	swwswwswswswswsws	0	0	2.0	0	0	2.0	8.0	2.0
                                        	swwswwswswwswwsww	0	0	0	1.0	0	1.0	8.0	5.0
                                        	swwswwswswwsswwss	0	0	2.0	0	0	1.0	6.0	6.0
                                        	swsswwswswwsswsws	0	0	0	0	10.0	2.0	4.0	4.0
                                        	swsswwswswswswsws	0	0	2.0	0	10.0	1.0	6.0	2.0
you but imagine lies all day o murderer i replied	wswswswswswswws	0	0	4.0	0	0	1.0	0	1.0
                                        	wswswswswswwsws	0	0	4.0	0	0	1.0	0	1.0
                                        	wswswswswswswsw	3.0	3.0	6.0	0	0	0.0	2.0	0
                                        	wswswswswswswss	3.0	0	6.0	0	10.0	0.0	0	1.0
and all those lies have but one end poor wretches to betray	wswswswswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wswwswwswswsws	0	0	2.0	0	0	2.0	4.0	2.0
                                        	wswsswwswswsws	0	0	2.0	0	10.0	1.0	2.0	2.0
                                        	wswwswwswwswws	3.0	3.0	2.0	0	0	1.0	4.0	4.0
i did not find in any cage the woman at my side	wswswswswswsws	0	0	0	0	0	0.0	0	0
o but her heart would break to learn my thoughts are far away	wswswswswswsws	0	0	2.0	0	0	0.0	0	0
speak all your mind my heart sang out speak all your mind who cares	wswswswwsswsws	0	0	0	0	0	1.0	4.0	2.0
                                        	swwswswwsswsws	0	0	0	0	0	2.0	2.0	3.0
                                        	swwswswwswwsws	0	0	0	0	0	2.0	2.0	3.0
                                        	swwswwswswwsws	0	0	0	0	0	2.0	2.0	3.0
                                        	wswswswswswsws	0	0	2.0	0	0	0.0	6.0	0
                                        	swwswswswswsws	0	0	2.0	0	0	1.0	4.0	1.0
                                        	wswswsswswwsws	0	0	0	0	10.0	1.0	2.0	2.0
                                        	swwswsswswwsws	0	0	0	0	10.0	2.0	0	3.0
                                        	sswswswswswsws	0	0	2.0	0	10.0	0.0	4.0	1.0
                                        	wswswsswsswsws	0	0	0	0	20.0	0.0	2.0	2.0
                                        	sswswsswswwsws	0	0	0	0	20.0	1.0	0	3.0
                                        	swwswsswsswsws	0	0	0	0	20.0	1.0	0	3.0
                                        	sswswsswsswsws	0	0	0	0	30.0	0.0	0	3.0
now that your tongue cannot persuade the child till she mistake	wswswswswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swwswswswswsws	0	0	2.0	0	0	1.0	0	1.0
                                        	sswswswswswsws	0	0	2.0	0	10.0	0.0	0	1.0
her childish gratitude for love and match your fifty years	wswswswswswsws	0	0	0	0	0	0.0	0	0
o let her choose a young man now and all for his wild sake	wswswswswswwss	0	0	0	0	0	1.0	2.0	2.0
                                        	wswswswswswsws	0	0	2.0	0	0	0.0	4.0	0
                                        	wswswswswswwsw	0	0	0	0	0	1.0	4.0	1.0
the light of evening lissadell          	wswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswsww	0	0	0	1.0	0	1.0	0	1.0
great windows open to the south         	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	sswswsws	0	0	2.0	0	10.0	0.0	0	1.0
two girls in silk kimonos both          	wswswsws	0	0	0	0	0	0.0	2.0	0
                                        	sswswsws	0	0	0	0	10.0	0.0	0	1.0
beautiful one a gazelle                 	swswsws	0	0	4.0	0	0	0.0	0	0
                                        	swwswws	0	0	2.0	0	0	0.0	0	2.0
but a raving autumn shears              	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wwswwss	3.0	3.0	2.0	0	0	0.0	2.0	3.0
                                        	wwsswws	3.0	3.0	2.0	0	0	0.0	2.0	3.0
blossom from the summer's wreath        	swswsws	0	0	2.0	0	0	0.0	0	0
the older is condemned to death         	wswswsws	0	0	2.0	0	0	0.0	0	0
pardoned drags out lonely years         	swswsws	0	0	0	0	0	0.0	0	0
conspiring among the ignorant           	wswswswsws	0	0	4.0	0	0	0.0	0	0
                                        	wswswswsww	0	0	2.0	1.0	0	1.0	0	1.0
i know not what the younger dreams      	wswswsws	0	0	0	0	0	0.0	0	0
some vague utopia and she seems         	wswswswws	0	0	2.0	0	0	1.0	0	1.0
                                        	wswswwsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wswswswsw	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswswss	0	0	4.0	0	10.0	0.0	0	1.0
when withered old and skeleton gaunt    	wswswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswswss	0	0	2.0	0	10.0	0.0	0	1.0
an image of such politics               	wswswsws	0	0	2.0	0	0	0.0	0	0
many a time i think to seek             	swwswsws	0	0	0	0	0	1.0	0	1.0
                                        	swwswwss	0	0	2.0	0	0	0.0	2.0	3.0
                                        	swwsswws	0	0	2.0	0	0	0.0	2.0	3.0
                                        	wswswsws	3.0	3.0	2.0	0	0	0.0	2.0	0
                                        	swswswsw	0	0	6.0	0	0	0.0	6.0	0
                                        	swswswss	0	0	6.0	0	10.0	0.0	4.0	1.0
one or the other out and speak          	wswswsws	0	0	4.0	0	0	0.0	0	0
of that old georgian mansion mix        	wswswsws	0	0	0	0	0	0.0	2.0	0
                                        	wwsswsws	0	0	0	0	0	1.0	0	2.0
                                        	swsswsws	0	0	2.0	0	10.0	0.0	0	1.0
pictures of the mind recall             	swswsws	0	0	2.0	0	0	0.0	0	0
that table and the talk of youth        	wswswsws	0	0	2.0	0	0	0.0	0	0
two girls in silk kimonos both          	wswswsws	0	0	0	0	0	0.0	2.0	0
                                        	sswswsws	0	0	0	0	10.0	0.0	0	1.0
beautiful one a gazelle                 	swswsws	0	0	4.0	0	0	0.0	0	0
                                        	swwswws	0	0	2.0	0	0	0.0	0	2.0
dear shadows now you know it all        	swswswsws	0	3.0	0	0	0	0.0	2.0	0
                                        	swsswwsws	0	0	0	0	10.0	1.0	2.0	2.0
                                        	swsswswsw	0	0	4.0	0	10.0	0.0	4.0	1.0
all the folly of a fight                	swswsws	0	0	2.0	0	0	0.0	0	0
with a common wrong or right            	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wwswwss	0	0	2.0	0	0	0.0	2.0	3.0
the innocent and the beautiful          	wswswwsws	0	0	4.0	0	0	1.0	0	1.0
                                        	wswwswsws	0	0	4.0	0	0	1.0	0	1.0
                                        	wswswwsww	0	0	2.0	1.0	0	2.0	0	2.0
                                        	wswwswsww	0	0	2.0	1.0	0	2.0	0	2.0
                                        	wswswswsw	3.0	3.0	6.0	0	0	0.0	2.0	0
have no enemy but time                  	swswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wsswsws	0	0	2.0	0	10.0	0.0	0	1.0
arise and bid me strike a match         	swswsws	0	0	0	0	0	0.0	0	0
and strike another till time catch      	wswswwss	0	0	0	0	0	1.0	0	2.0
                                        	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswwsw	0	0	0	0	0	1.0	2.0	1.0
should the conflagration climb          	swswsws	0	0	0	0	0	0.0	0	0
run till all the sages know             	swswsws	0	0	0	0	0	0.0	0	0
we the great gazebo built               	wwssws	0	0	0	0	0	1.0	0	2.0
                                        	wswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wwssww	0	0	0	1.0	0	0.0	2.0	3.0
                                        	wwswws	0	3.0	0	0	0	0.0	2.0	2.0
                                        	swssws	0	0	2.0	0	10.0	0.0	0	1.0
they convicted us of guilt              	swswsws	0	0	4.0	0	0	0.0	0	0
                                        	wwswsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wwswwss	0	0	2.0	0	0	0.0	0	3.0
bid me strike a match and blow          	swswsws	0	0	0	0	0	0.0	0	0
crazed through much child bearing       	swswsw	0	0	0	0	0	0.0	2.0	0
                                        	swwssw	0	0	0	0	0	1.0	0	2.0
the moon is staggering in the sky       	wswswwsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswswsw	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswswss	0	0	4.0	0	10.0	0.0	0	1.0
moon struck by the despairing           	wswswsw	0	0	2.0	0	0	0.0	2.0	0
