"syll","perf","perfword","allow","allowword"
"eart","eart, art","art, cart, dart, hart, mart, part, smart, tart, start, apart, depart, impart, dispart, counterpart, heart","urt, irt, ert","wart, thwart, hurt, dirt, flirt, pert, sport, court, short, retort"
"earth","earth, irth","earth, dearth, birth, mirth","earth","hearth"
"ease","ease, eace, iece, eese","cease, lease, release, grease, decease, decrease, encrease, release, surcease, peace, piece, niece, fleece, geese, frontispiece, apiece","ess, ice, iss","less, mess, lace, mace, miss, kiss, nice, vice"
"eash","esh","flesh, fresh, refresh, thresh, afresh, mesh","ash","mash, flash"
"east","east, eas'd, eased","east, feast, least, beast, ceas'd, increas'd, ceased, increased, priest","aste, est, ist, ess'd, iss'd, essed, issed","haste, taste, best, chest, fist, list, dress'd, kiss'd, dressed, kissed"
"eat","eat, ete, eet","bleat, eat, feat, heat, meat, neat, seat, treat, wheat, beat, cheat, defeat, entreat, escheat, intreat, retreat, obsolete, replete, concrete, complete, feet, fleet, gleet, greet, meet, sheet, sleet, street, sweet, discreet","ate, eat, et, it","bate, great, hate, get, net, bit, hit"
"eath","eath","breath, death","eath, eeth","heath, sheath, teeth"
"eathe","eathe, eath, eethe","breathe, sheathe, wreath, inwreath, bequeath, beneath, underneath, seethe",NA,NA
"eave","eave, eive, ieve","cleave, heave, interweave, leave, weave, bereave, inweave, receive, conceive, deceive, perceive, eve, grieve, sleeve, thieve, aggrieve, achieve, believe, disbelieve, relieve, reprieve, retrieve","ive, ave","give, live, lave, cave, have"
"ebb","ebb","ebb, webb","abe, ebe","babe, astrolabe, glebe"
"eck","eck","beck, neck, check, deck, speck, wreck","eak, ake","break, take, beak, sneak"
"ect","ect, eck'd, ecked","sect, abject, affect, correct, incorrect, collect, deject, detect, direct, disrespect, disaffect, dissect, effect, elect, eject, erect, expect, indirect, infect, inspect, neglect, object, project, protect, recollect, reflect, reject, respect, select, subject, suspect, architect, circumspect, direct, intellect, deck'd, check'd, decked, checked","ak'd, eak'd, aked, eaked","bak'd, leak'd, baked, leaked"
"ed","ed, ead","bed, bled, fed, fled, bred, led, red, shred, shed, sped, wed, abed, inbred, misled, said, bread, dread, dead, head, lead, read, spread, thread, tread, behead, o'erspread, maidenhead","ead, ade, aid, ay'd, ey'd, eigh'd, ayed, eyed, eighed","bead, mead, blade, fade, maid, paid, bay'd, obey'd, inveigh'd, bayed, obeyed, inveighed"
"ede","eed, ede, ead","creed, deed, indeed, bleed, breed, feed, heed, meed, need, reed, speed, seed, steed, weed, proceed, succeed, exceed, knead, read, intercede, precede, recede, concede, impede, supercede, bead, lead, mead, plead","ed,id, ade","bed, dead, bid, hid, made, blade"
"edge","edge","edge, wedge, fledge, hedge, ledge, pledge, sedge, allege","age, iege, ege","age, page, siege, oblige, privilege, sacrilege, sortilege"
"ee","ee, ea","bee, free, glee, knee, see, three, thee, tree, agree, decree, degree, disagree, foresee, o'ersee, pedigree, he, me, we, she, be, jubilee, lee, sea, plea, flea, tea, key","y, ye, ie","liberty, energy, they"
"eece","ease, eace, iece, eese","cease, lease, release, grease, decease, decrease, encrease, release, surcease, peace, piece, niece, fleece, geese, frontispiece, apiece","ess, ice, iss","less, mess, lace, mace, miss, kiss, nice, vice"
"eech","each, eech","beach, breach, bleach, each, peach, preach, teach, impeach, beech, leech, speech, beseech","etch","fetch, wretch"
"eed","eed","ede, ead","creed, deed, indeed, bleed, breed, feed, heed, meed, need, reed, speed, seed, steed, weed, proceed, succeed, exceed, knead, read, intercede, precede, recede, concede, impede, supercede, bead, lead, mead, plead","ed,id, ade, bed, dead, bid, hid, made, blade"
"eef","ief, eef, eaf","grief, chief, fief, thief, brief, belief, relief, reef, beef, leaf, sheaf",NA,NA
"eek","eak, eek, iek, ique","bleak, speak, bleak, creak, freak, leak, peak, sneak, squeak, streak, weak, tweak, wreak, bespeak, cheek, leek, creek, meek, reek, seek, sleek, pique, week, shriek","eck, ake, ick","beck, speck, lake, take, thick, lick"
"eel","eal, eel","deal, heal, reveal, meal, peal, seal, steal, teal, veal, weal, zeal, squeal, repeal, conceal, congeal, repeal, anneal, appeal, eel, heel, feel, heel, kneel, peel, reel, steel, wheel","ell, ale, ill, ail","bell, tell, bale, tale, bill, fill, ail, fail"
"eem","eam, eme, eem","bream, cream, gleam, team, scream, steam, stream, team, beam, dream, phlegm, scheme, theme, blaspheme, extreme, supreme, deem, teem, beseem, misdeem, esteem, disesteem, redeem, seem","ame, imb, im, em, amb, am","dame, lame, limb, him, them, hem, lamb, dam"
"een","ean, ene, een","bean, clean, dean, glean, lean, mean, wean, yean, demean, unclean, convene, demesne, intervene, mien, machine, keen, skreen, seen, green, spleen, between, careen,foreseen, serene, obscene, terrene, queen, spleen","ane, an, in","bane, mane, ban, man, bin, thin, begin"
"eep","eep, eap","creep, deep, sleep, keep, peep, sheep, steep, sweep, weep, asleep, cheap, heap, neap","ape, ep, ip","ape, rape, step, nep, hip, lip"
"eer","eer, ere, ear","beer, deer, fleer, geer, jeer, peer, meer, leer, sheer, steer, sneer, cheer, veer, pickeer, domineer, cannoneer, compeer, engineer, mutineer, pioneer, privateer, charioteer, chanticleer, career, mountaineer, here, sphere, adhere, cohere, interfere, persevere, revere, austere, severe, sincere, hemisphere, ear, clear, dear, fear, hear, near, sear, smear, spear, tear, rear, year, appear, besmear, disappear, endear, auctioneer","are, er","bare, dare, prefer, deter, character"
"ees","ees, eeze, eese, ease, eize, eas","breeze, freeze, wheeze, sneeze, squeeze, bees, sees, cheese, these, ease, appease, disease, displease, tease, seize, teas, pleas",NA,NA
"eese","eeze, eeze, ees, eese, ease, eize, eas","breeze, freeze, wheeze, sneeze, squeeze, bees, sees, cheese, these, ease, appease, disease, displease, tease, seize, teas, pleas",NA,NA
"eet","eat, ete, eet","bleat, eat, feat, heat, meat, neat, seat, treat, wheat, beat, cheat, defeat, entreat, escheat, intreat, retreat, obsolete, replete, concrete, complete, feet, fleet, gleet, greet, meet, sheet, sleet, street, sweet, discreet","ate, eat, et, it","bate, great, hate, get, net, bit, hit"
"eeth","eeth, eath","breath, death","eath, eeth","heath, sheath, teeth"
"eeve","eeve, eave, eive, ieve","cleave, heave, interweave, leave, weave, bereave, inweave, receive, conceive, deceive, perceive, eve, grieve, sleeve, thieve, aggrieve, achieve, believe, disbelieve, relieve, reprieve, retrieve","ive, ave","give, live, lave, cave, have"
"eeze","eeze, ees, eese, ease, eize, eas","breeze, freeze, wheeze, sneeze, squeeze, bees, sees, cheese, these, ease, appease, disease, displease, tease, seize, teas, pleas",NA,NA
"eft","eft","cleft, left, theft, weft, bereft","ift, af'd, aff'd, augh'd, iff'd, afed, affed, aughed, iffed","chaf'd, quaff'd, laugh'd, whiff'd, laughed, whiffed, quaffed, chafed"
"eg","egg, eg","egg, leg, beg, peg","ague","vague, plague, league, teague"
"eigh","ay, eigh, ey","bray, clay, day, dray, tray, flay, fray, gay, hay, jay, lay, may, nay, pay, play, ray, say, way, pray, spray, slay, spay, stay, stray, sway, affray, allay, array, astray, away, belay, bewray, betray, decay, defray, delay, disarray, display, dismay, essay, forelay, gainsay, inlay, relay, repay, roundelay, virelay, neigh, weigh, inveigh, prey, they, convey, obey, purvey, survey, disobey, grey","ea, ee","tea, sea, fee, see, glee"
"eight","eight, ate, ait","bate, date, fate, gate, grate, hate, late, mate, pate, plate, prate, rate, sate, state, scate, slate, abate, belate, collate, create, debate, elate, dilate, estate, ingrate, innate, rebate, relate, sedate, translate, abdicate, abominate, abrogate, accelerate, accommodate, accumulate, accurate, adequate, affectionate, advocate, adulterate, aggravate, agitate, alienate, animate, annihilate, antedate, anticipate, antiquate, arbitrate, arrogate, articulate, assassinate, calculate, capitulate, captivate, celebrate, circulate, coagulate, commemorate, commisserate, communicate, compassionate, confederate, congratulate, congregate, consecrate, contaminate, corroborate, cultivate, candidate, cooperate, celibate, considerate, consulate, capacitate, debilitate, dedicate, degenerate, delegate, deliberate, denominate, depopulate, dislocate, deprecate, discriminate, derogate, dissipate, delicate, disconsolate, desolate, desperate, educate, effeminate, elevate, emulate, estimate, elaborate, equivocate, eradicate, evaporate, exaggerate, exasperate, expostulate, exterminate, extricate, facilitate, fortunate, generate, gratulate, hesitate, illiterate, illuminate, irritate, imitate, immoderate, impetrate, importunate, imprecate, inanimate, innovate, instigate, intemperate, intimate, intimidate, intoxicate, intricate, invalidate, inveterate, inviolate, legitimate, magistrate, meditate, mitigate, moderate, necessitate, nominate, obstinate, participate, passionate, penetrate, perpetrate, personate, potentate, precipitate, predestinate, predominate, premeditate, prevaricate, procrastinate, profligate, prognosticate, propagate, recriminate, regenerate, regulate, reiterate, reprobate, reverberate, ruminate, separate, sophisticate, stipulate, subjugate, subordinate, suffocate, terminate, tolerate, temperate, vindicate, violate, unfortunate, bait, plait, strait, wait, await, great","eight eat, at, et","eight, weight, height, streight, beat, heat, bat, cat, bet, wet"
"eign","ain, ane, aign, eign, ein","cain, blain, brain, chain, fain, gain, grain, lain, main, pain, rain, vain, wain, drain, plain, slain, Spain, stain, swain, train, twain, sprain, strain, abstain, amain, attain, complain, contain, constrain, detain, disdain, distrain, enchain, entertain, explain, maintain, ordain, pertain, obtain, refrain, retrain, remain, restrain, retain, sustain, appertain, bane, cane, dane, crain, fane, jane, lane, mane, plane, vane, wane, profane, hurricane, daign, arraign, campaign, feign, reign, vein, rein","ean, een, an, en","lean, mean, queen, seen, ban, can, den, pen"
"eil","eil, ail, ale","ail, bail, fail, hail, jail, mail, nail, pail, quail, rail, sail, tail, wail, flail, frail, snail, trail, assail, avail, detail, bewail, entail, prevail, retail, countervail, ale, bale, dale, gale, hale, male, pale, sale, tale, vale, wale, scale, shale, stale, swale, whale, impale, exhale, regale, veil, nightingale","eal, ell","peal, steal, bell, cell"
"ein","ain, ane, aign, eign, ein","cain, blain, brain, chain, fain, gain, grain, lain, main, pain, rain, vain, wain, drain, plain, slain, Spain, stain, swain, train, twain, sprain, strain, abstain, amain, attain, complain, contain, constrain, detain, disdain, distrain, enchain, entertain, explain, maintain, ordain, pertain, obtain, refrain, retrain, remain, restrain, retain, sustain, appertain, bane, cane, dane, crain, fane, jane, lane, mane, plane, vane, wane, profane, hurricane, daign, arraign, campaign, feign, reign, vein, rein","ean, een, an, en","lean, mean, queen, seen, ban, can, den, pen"
"eint","eint, aint, eint","faint, paint, plaint, quaint, saint, taint, acquaint, attaint, complaint, constraint, restraint, feint","ant, ent","cant, pant, lent, rent"
"eir","eir, are, air, wear, ere, e'er","bare, care, dare, fare, hare, mare, pare, rare, tare, ware, flare, glare, scare, share, snare, spare, square, stare, sware, prepare, aware, beware, compare, declare, ensnare, air, fair, hair, lair, pair, chair, stair, affair, debonnair, despair, impair, repair, bear, pear, swear, tear, wear, forbear, forswear, there, were, where, ere, e'er, ne'er, elsewhere, whate'er, howe'er, howsoe'er, whene'er, wheree'er, heir, coheir, their","ar, ere","bar, car, err, prefer, here, hear, regular, singular, war"
"eit","eit, eat, ete, eet","bleat, eat, feat, heat, meat, neat, seat, treat, wheat, beat, cheat, defeat, entreat, escheat, intreat, retreat, obsolete, replete, concrete, complete, feet, fleet, gleet, greet, meet, sheet, sleet, street, sweet, discreet","ate, eat, et, it","bate, great, hate, get, net, bit, hit"
"eive","eive, eave, eive, ieve","cleave, heave, interweave, leave, weave, bereave, inweave, receive, conceive, deceive, perceive, eve, grieve, sleeve, thieve, aggrieve, achieve, believe, disbelieve, relieve, reprieve, retrieve","ive, ave","give, live, lave, cave, have"
"eize","eize, eeze, ees, eese, ease, eize, eas","breeze, freeze, wheeze, sneeze, squeeze, bees, sees, cheese, these, ease, appease, disease, displease, tease, seize, teas, pleas",NA,NA
"ell","ell, el","ell, dwell, fell, hell, knell, quell, sell, hell, cell, dispel, foretell, excel, compel, befel, yell, well, tell, swell, spell, smell, shell, parallel, sentinel, infidel, citadel, refel, repel, rebel, impel, expel","ale, eal, eel","kale, sale, heal, peal, eel, steel"
"eld","eld, ell'd, elled","held, geld, witheld, upheld, beheld, swell'd, fell'd, swelled, felled","al'd, eal'd, aled, ealed","empal'd, empaled, wail'd, ailed, heal'd, seal'd, healed, sealed"
"elf","elf","elf, pelf, self, shelf, himself",NA,NA
"elk","elk","elk, whelk",NA,NA
"elm","elm","elm, helm, realm,  whelm, overwhelm","alm, ilm","palm, film"
"elp","elp","help, whelp, yelp",NA,NA
"elt","elt","belt, gelt, melt, felt, welt, smelt, pelt, dwelt, dealt",NA,NA
"elve","elve","delve, helve, twelve",NA,NA
"elves","elves","elves, themselves, twelves, delves, shelves",NA,NA
"em","em, emn","gem, hem, stem, them, diadem, stratagem, condemn, contemn","ame, eam","lame, tame, team, seam, theme, phlegm"
"eme","eme, eam, eem","bream, cream, gleam, team, scream, steam, stream, team, beam, dream, phlegm, scheme, theme, blaspheme, extreme, supreme, deem, teem, beseem, misdeem, esteem, disesteem, redeem, seem","ame, imb, im, em, amb, am","dame, lame, limb, him, them, hem, lamb, dam"
"emn","emn, em","condemn, contemn, gem, hem","ame, eam","lame, tame, team, seam"
"empt","empt","tempt, exempt, attempt, contempt",NA,NA
"en","en","den, hen, fen, ken, men, pen, ten, then, when, wren, denizen","ane, ean","bane, fane, mean, bean"
"ence","ence, ense","fence, hence, pence, thence, whence, defence, expence, offence, pretence, commence, abstinence, circumference, conference, confidence, consequence, continence, benevolence, concupiscence, difference, diffidence, diligence, eloquence, eminence, evidence, excellence, impenitence, impertinence, impotence, impudence, improvidence, incontinence, indifference, indigence, indolence, inference, intelligence, innocence, magnificence, munificence, negligence, omnipotence, penitence, preference, providence, recompence, reference, residence, reverence, vehemence, violence, sense, dense, cense, condense, immense, intense, propense, dispense, suspense, prepense, incense, frankincense",NA,NA
"ench","ench","bench, drench, retrench, quench, clench, stench, tench, trench, wench, wrench, intrench",NA,NA
"end","end, enn'd, enned","bend, mend, blend, end, fend, lend, rend, send, spend, tend, vend, amend, attend, ascend, commend, contend, defend, depend, descend, distend, expend, extend, forefend, impend, mispend, obtend, offend, portend, pretend, protend, suspend, transcend, unbend, apprehend, comprehend, condescend, discommend, recommend, reprehend, dividend, reverend, friend, befriend, penn'd, kenn'd, penned, kenned","ean'd, eaned","glean'd, yean'd, gleaned, yeaned"
"ends","ends","amends, friends, mends",NA,NA
"ene","ene, ean, een","bean, clean, dean, glean, lean, mean, wean, yean, demean, unclean, convene, demesne, intervene, mien, machine, keen, skreen, seen, green, spleen, between, careen,foreseen, serene, obscene, terrene, queen, spleen","ane, an, in","bane, mane, ban, man, bin, thin, begin"
"enge","enge","avenge, revenge",NA,NA
"ength","ength","length, strength",NA,NA
"eanse","eanse, ens","cleanse, hens, fens, pens, kens",NA,NA
"ent","ent","sent, lent, rent, pent, scent, sent, shent, spent, tent, vent, went, absent, meant, ascent, assent, attent, augment, cement, content, consent, descent, dissent, event, extent, foment, frequent, indent, intent, invent, lament, mispent, overspent, present, prevent, relent, repent, resent, ostent, ferment, outwent, underwent, discontent, unbent, circumvent, represent, abstinent, accident, accomplishment, admonishment, acknowledgment, aliment, arbitrement, argument, banishment, battlement, blandishment, astonishment, armipotent, bellipotent, benevolent, chastisement, competent, compliment, complement, confident, continent, corpulent, detriment, different, diffident, diligent, disparagement, document, element, eloquent, eminent, equivalent, establishment, evident, excellent, excrement, exigent, experiment, firmament, fraudulent, government, embellishment, imminent, impenitent, impertinent, implement, impotent, imprisonment, improvident, impudent, incident, incompetent, incontinent, indifferent, indigent, innocent, insolent, instrument, irreverent, languishment, ligament, lineament, magnificent, management, medicament, malecontent, monument, negligent, nourishment, nutriment, accident, omnipotent, opulent, ornament, parliament, penitent, permanent, pertinent, president, precedent, prevalent, provident, punishment, ravishment, regiment, resident, redolent, rudiment, sacrament, sediment, sentiment, settlement, subsequent, supplement, intelligent, tenement, temperament, testament, tournament, turbulent, vehement, violent, virulent, reverent","aint","paint, saint"
"ents","ents","accoutrements, scents, assents",NA,NA
"ep","ep","step, nep","eap, ape","leap, reap, rape, tape"
"ept","ept","accept, adept, except, intercept, crept, slept, wept, kept","eep'd, ap'd, eap'd, eeped, aped, eaped","peep'd, reap'd, shap'd, peeped, reaped, shaped"
"err","err, er","err, aver, defer, infer, deter, inter, refer, transfer, confer, prefer, parterre, administer, wagoner, islander, arbiter, character, villager, cottager, dowager, forager, pillager, voyager, massacre, gardener, slanderer, flatterer, idolater, provender, theatre, amphitheatre, foreigner, lavender, messenger, passenger, sorcerer, interpreter, officer, mariner, harbinger, minister, register, canister, choirister, sophister, presbyter, lawgiver, philosopher, astrologer, loiterer, prisoner, grasshopper, astronomer, sepulchre, thunderer, traveller, murderer, usurer","are, ear, ar","bare, care, ear, fear, bar, car"
"erch","erch, earch, erch","search, perch, research","urch, irch, arch","church, smirch, lurch, parch, march"
"erce","erce, erse, ierce","verse, herse, absterse, adverse, averse, converse, disperse, immerse, perverse, reverse, traverse, asperse, intersperse, universe, amerce, coerce, fierce, tierce, pierce","arce, urse","farce, parce, Mars, purse, curse"
"erd","eard, erd, err'd, erred","heard, herd, sherd, err'd, preferr'd","er'd, ear'd, arr'd, ered, eared, arred","beard, rever'd, fear'd, barr'd"
"ere","eer, ere, ear","beer, deer, fleer, geer, jeer, peer, meer, leer, sheer, steer, sneer, cheer, veer, pickeer, domineer, cannoneer, compeer, engineer, mutineer, pioneer, privateer, charioteer, chanticleer, career, mountaineer, here, sphere, adhere, cohere, interfere, persevere, revere, austere, severe, sincere, hemisphere, ear, clear, dear, fear, hear, near, sear, smear, spear, tear, rear, year, appear, besmear, disappear, endear, auctioneer","are, er","bare, dare, prefer, deter, character"
"erge","erge, urge","verge, absterge, emerge, immerge, dirge, urge, purge, surge","arge","barge, large"
"ern","ern, earn","fern, stern, discern, concern, learn, earn, yearn","arn, urn","yarn, barn, burn, turn"
"erse","erse, erce, ierce","verse, herse, absterse, adverse, averse, converse, disperse, immerse, perverse, reverse, traverse, asperse, intersperse, universe, amerce, coerce, fierce, tierce, pierce","arce, urse","farce, parce, Mars, purse, curse"
"ert","ert","wert, advert, assert, avert, concert, convert, controvert, desert, divert, exert, expert, insert, invert, pervert, subvert","eart, art, irt, urt","heart, part, shirt, dirt, hurt, spurt"
"erve","erve","serve, nerve, swerve, preserve, deserve, conserve, observe, reserve, diserve, subserve","arve, urve","starve, carve, curve"
"ess","ess","bless, dress, cess, chess, guess, less, mess, press, stress, acquiesce, access, address, assess, compress, confess, caress, depress, digress, dispossess, distress, excess, express, impress, oppress, possess, profess, recess, repress, redress, success, transgress, adulteress, bashfulness, bitterness, cheerfulness, comfortless, comeliness, dizziness, diocess, drowsiness, eagerness, easiness, embassadress, emptiness, evenness, fatherless, pithiness, foolishness, forgetfulness, forwardness, frowardness, fruitfulness, fulsomeness, giddiness, greediness, gentleness, governess, happiness, haughtiness, heaviness, heinousness, heaviness, heinousness, holiness, idleness, lasciviousness, lawfulness, laziness, littleness, liveliness, loftiness, lioness, lowliness, manliness, masterless, mightiness, motherless, motionless, nakedness, neediness, noisomeness, numberless, patroness, peevishness, perfidiousness, pitiless, poetess, prophetess, ransomless, readiness, righteousness, shepherdess, sorceress, sordidness, spiritless, sprightliness, stubborness, sturdiness, surliness, steadiness, tenderness, thoughtfulness, ugliness, uneasiness, unhappiness, votaress, usefulness, wakefulness, wantonness, weaponless, wariness, willingness, wilfulness, weariness, wickedness, wilderness, wretchedness, drunkenness, childishness","ass","mass, pass"
"ese","ese, eez, ees, eese, ease, eize, eas","breeze, freeze, wheeze, sneeze, squeeze, bees, sees, cheese, these, ease, appease, disease, displease, tease, seize, teas, pleas",NA,NA
"esh","esh","flesh, fresh, refresh, thresh, afresh, mesh","ash","mash, flash"
"esk","esk, esque","desk, grotesque, burlesque","ash","mash, ash"
"est","est, east, ess'd, essed","best, chest, crest, guest, jest, nest, pest, quest, rest, test, vest, west, arrest, attest, bequest, contest, detest, digest, divest, invest, infest, molest, obtest, protest, request, suggest, unrest, interest, manifest, breast, abreast, dress'd, press'd, express'd, dressed, pressed, expressed","ast, aste, east","cast, fast, haste, waste, beast, least"
"et","et, eat","bet, get, jet, fret, let, met, net, set, wet, whet, yet, debt, abet, beget, beset, forget, regret, alphabet, amulet, anchoret, cabinet, epithet, parapet, rivulet, violet, counterfeit, coronet, sweat, threat","ate, eat","bate, hate, beat, heat"
"etch","etch","fetch, stretch, wretch, sketch","atch, each","match, latch, peach, bleach"
"ete","eat, ete, eet","bleat, eat, feat, heat, meat, neat, seat, treat, wheat, beat, cheat, defeat, entreat, escheat, intreat, retreat, obsolete, replete, concrete, complete, feet, fleet, gleet, greet, meet, sheet, sleet, street, sweet, discreet","ate, eat, et, it","bate, great, hate, get, net, bit, hit"
"eud","ewd, eud, ude, ew'd, ewed","rude, crude, prude, allude, conclude, delude, elude, exclude, exude, include, intrude, obtrude, seclude, altitude, fortitude, gratitude, interlude, latitude, longitude, magnitude, multitude, solicitude, solitude, vicissitude, aptitude, habitude, ingratitude, ineptitude, lassitude, plenitude, promptitude, servitude, similitude, leud, feud, stew'd, view'd, stewed, viewed","ud, ood","bud, cud, good, hood, blood, flood"
"eve","eve, eave, eive, ieve","cleave, heave, interweave, leave, weave, bereave, inweave, receive, conceive, deceive, perceive, eve, grieve, sleeve, thieve, aggrieve, achieve, believe, disbelieve, relieve, reprieve, retrieve","ive, ave","give, live, lave, cave, have"
"eum","eum, ume","fume, plume, assume, consume, perfume, resume, presume, deplume",NA,NA
"ew","ew","blew, chew, dew, brew, drew, flew, few, grew, new, knew, hew, Jew, mew, view, threw, yew, crew, slew, anew, askew, bedew, eschew, renew, review, withdrew, screw, interview, clue, due, cue, glue, hue, rue, sue, true, accrue, ensue, endue, imbue, imbrue, pursue, subdue, adieu, purlieu, perdue, residue, avenue, revenue, retinue",NA,NA
"ewd","ewd, eud, ude, ew'd, ewed","rude, crude, prude, allude, conclude, delude, elude, exclude, exude, include, intrude, obtrude, seclude, altitude, fortitude, gratitude, interlude, latitude, longitude, magnitude, multitude, solicitude, solitude, vicissitude, aptitude, habitude, ingratitude, ineptitude, lassitude, plenitude, promptitude, servitude, similitude, leud, feud, stew'd, view'd, stewed, viewed","ud, ood","bud, cud, good, hood, blood, flood"
"ewn","une, oon","june, tune, untune, jejune, prune, importune, moon, soon","un","bun, dun"
"ex","ex, ecks","sex, vex, annex, convex, complex, perplex, circumflex, checks","ax, akes, acks, eaks, ekes, iques","beaks, rakes, takes, breaks, racks, ekes, pikes, likes, piques"
"ext","ext, ex'd, exed","next, pretext, vex'd, perplex'd","ax'd, axed","wax'd, waxed"
"ey","ay, eigh, ey","bray, clay, day, dray, tray, flay, fray, gay, hay, jay, lay, may, nay, pay, play, ray, say, way, pray, spray, slay, spay, stay, stray, sway, affray, allay, array, astray, away, belay, bewray, betray, decay, defray, delay, disarray, display, dismay, essay, forelay, gainsay, inlay, relay, repay, roundelay, virelay, neigh, weigh, inveigh, prey, they, convey, obey, purvey, survey, disobey, grey","ea, ee","tea, sea, fee, see, glee"
"ib","ib","bib, crib, squib, drib, glib, nib, rib","ibe","bribe, tribe"
"ibe","ibe","bribe, tribe, scribe, ascribe, describe, superscribe, prescribe, proscribe, subscribe, transcribe, inscribe","ib","bib, crib"
"ice","ice, ise","ice, dice, mice, nice, price, rice, spice, slice, thrice, trice, advice, entice, rice, device, rise, concise, precise, paradise","iss, ice, iece, eece","miss, kiss, hiss, artifice, avarice, cockatrice, benefice, cicatrice, edifice, orifice, prejudice, precipice, sacrifice, piece, fleece"
"ich","itch, ich","ditch, pitch, rich, which, bitch, flitch, hitch, itch, stitch, switch, twitch, witch, bewitch, nich, enrich",NA,NA
"ick","ick, ic","brick, sick, chick, hick, lick, nick, pick, quick, stick, thick, trick, arithmetic, asthmatic, choleric, catholic, phlegmatic, heretic, rhetoric, schismatic, splenetic, lunatic, asteric, politic, empiric","ike, eak","like, pike, weak, speak"
"ict","ict, ick'd, icked","strict, addict, afflict, convict, inflict, contradict, lick'd, kick'd, licked, kicked","ik'd, iked, eak'd, eaked","lik'd, liked, leak'd, leaked"
"id","id","bid, chid, hid, kid, lid, slid, rid, bestrid, pyramid, forbid","ide, ied, ead, eed","bide, chide, parricide, died, replied, lead, bead, mead, deed, need, freed, agreed"
"ide","ide, ied","bide, chide, hide, glide, pride, ride, slide, side, stride, tide, wide, bride, abide, guide, aside, astride, beside, bestride, betide, confide, decide, deride, divide, preside, provide, subside, misguide, subdivide, died, replied, sigh'd","ead, id","bead, mead, bid, hid"
"ides","ides","besides, tides, rides","eads, ids","beads, leads, kids, bids"
"idge","idge","bridge, ridge, abridge",NA,NA
"idst","idst, idd'st","midst, amidst, bidd'st, hidd'st","id'st, ead'st","hid'st, read'st"
